label,kp_name,x,y
cover2,Left elbow,72,34
cover2,Left wrist,80,51
cover2,thorax,52,18
cover2,head top,41,11
cover2,Right ankle,43,111
cover2,Right knee,41,86
cover2,Right hip,51,64
cover2,Left hip,69,61
cover2,Left knee,74,89
cover2,Left ankle,82,68
cover2,Right wrist,32,18
cover2,Right elbow,29,33
cover2,Right shoulder,43,23
cover2,Left shoulder,66,22
cover2,Left elbow,79,36
cover2,Left wrist,69,43
cover2,thorax,54,19
cover2,head top,55,5
cover2,Right ankle,82,88
cover2,Right knee,87,71
cover2,Right hip,60,72
cover2,Left hip,57,75
cover2,Left knee,78,94
cover2,Left ankle,80,122
cover2,Right wrist,45,65
cover2,Right elbow,45,52
cover2,Right shoulder,51,33
cover2,Left shoulder,62,32
cover2,Left elbow,77,32
cover2,Left wrist,65,29
cover2,thorax,58,28
cover2,head top,64,18
cover2,Right ankle,58,97
cover2,Right knee,77,79
cover2,Right hip,44,73
cover2,Left hip,47,72
cover2,Left knee,75,76
cover2,Left ankle,58,97
cover2,Right wrist,68,44
cover2,Right elbow,67,58
cover2,Right shoulder,63,38
cover2,Left shoulder,58,33
cover2,Left elbow,72,55
cover2,Left wrist,72,40
cover2,thorax,66,32
cover2,head top,70,23
cover2,Right ankle,33,114
cover2,Right knee,44,92
cover2,Right hip,49,68
cover2,Left hip,74,66
cover2,Left knee,79,93
cover2,Left ankle,88,116
cover2,Right wrist,48,52
cover2,Right elbow,37,43
cover2,Right shoulder,47,27
cover2,Left shoulder,72,24
cover2,Left elbow,81,41
cover2,Left wrist,71,49
cover2,thorax,60,22
cover2,head top,59,7
cover2,Right ankle,38,132
cover2,Right knee,45,108
cover2,Right hip,49,82
cover2,Left hip,72,84
cover2,Left knee,69,109
cover2,Left ankle,72,134
cover2,Right wrist,35,73
cover2,Right elbow,40,56
cover2,Right shoulder,48,39
cover2,Left shoulder,73,42
cover2,Left elbow,91,35
cover2,Left wrist,83,19
cover2,thorax,64,37
cover2,head top,67,22
cover2,Right ankle,42,107
cover2,Right knee,69,102
cover2,Right hip,46,79
cover2,Left hip,50,79
cover2,Left knee,69,100
cover2,Left ankle,44,105
cover2,Right wrist,66,69
cover2,Right elbow,59,56
cover2,Right shoulder,52,37
cover2,Left shoulder,52,34
cover2,Left elbow,67,28
cover2,Left wrist,80,18
cover2,thorax,53,30
cover2,head top,55,19
cover2,Right ankle,50,135
cover2,Right knee,51,111
cover2,Right hip,50,79
cover2,Left hip,71,80
cover2,Left knee,68,113
cover2,Left ankle,70,135
cover2,Right wrist,54,28
cover2,Right elbow,38,28
cover2,Right shoulder,50,38
cover2,Left shoulder,74,39
cover2,Left elbow,88,29
cover2,Left wrist,71,29
cover2,thorax,63,38
cover2,head top,64,22
cover2,Right ankle,59,90
cover2,Right knee,53,79
cover2,Right hip,52,60
cover2,Left hip,69,59
cover2,Left knee,81,55
cover2,Left ankle,49,72
cover2,Right wrist,49,50
cover2,Right elbow,37,43
cover2,Right shoulder,46,25
cover2,Left shoulder,71,23
cover2,Left elbow,81,39
cover2,Left wrist,71,48
cover2,thorax,59,21
cover2,head top,60,6
cover2,Right ankle,43,110
cover2,Right knee,41,84
cover2,Right hip,51,65
cover2,Left hip,67,60
cover2,Left knee,74,89
cover2,Left ankle,82,68
cover2,Right wrist,45,45
cover2,Right elbow,37,40
cover2,Right shoulder,44,24
cover2,Left shoulder,67,22
cover2,Left elbow,78,38
cover2,Left wrist,67,44
cover2,thorax,55,19
cover2,head top,51,6
cover2,Right ankle,45,107
cover2,Right knee,58,79
cover2,Right hip,77,60
cover2,Left hip,71,55
cover2,Left knee,46,55
cover2,Left ankle,49,76
cover2,Right wrist,36,22
cover2,Right elbow,43,37
cover2,Right shoulder,54,24
cover2,Left shoulder,71,14
cover2,Left elbow,71,32
cover2,Left wrist,62,42
cover2,thorax,61,17
cover2,head top,53,8
cover2,Right ankle,81,128
cover2,Right knee,83,102
cover2,Right hip,62,79
cover2,Left hip,65,79
cover2,Left knee,79,101
cover2,Left ankle,78,129
cover2,Right wrist,53,69
cover2,Right elbow,49,54
cover2,Right shoulder,57,36
cover2,Left shoulder,72,37
cover2,Left elbow,78,50
cover2,Left wrist,85,68
cover2,thorax,68,32
